AircraftKey,AircraftType,Manufacturer,Family,FleetClass,PayloadLbs,Owned,Leased,InFleet,NotInService,OnOrder,FleetPayloadLbs,IsBoeing,SortOrder,InServiceSince
B777F,Boeing 777F,Boeing,Widebody jet,Trunk,233300,56,3,59,0,10,13764700,1,1,2009
MD11,Boeing MD-11,Boeing,Trijet,Trunk,192600,29,0,29,0,0,5585400,1,2,1991
B767F,Boeing 767F,Boeing,Widebody jet,Trunk,127100,152,0,152,1,0,19319200,1,3,2014
A306,Airbus A300-600,Airbus,Widebody jet,Trunk,106600,57,0,57,0,0,6076200,0,4,1994
B752,Boeing 757-200,Boeing,Narrowbody jet,Trunk,63000,86,0,86,0,0,5418000,1,5,2008
AT76F,ATR 72-600F,ATR,Turboprop,Feeder,19290,27,0,27,2,15,520830,0,6,2020
AT72,ATR 72,ATR,Turboprop,Feeder,17970,19,0,19,0,0,341430,0,7,1990
AT42,ATR 42,ATR,Turboprop,Feeder,12070,16,0,16,0,0,193120,0,8,1988
C408,Cessna 408,Textron,Turboprop,Feeder,6000,39,0,39,2,11,234000,0,9,2022
C208B,Cessna 208B,Textron,Turboprop,Feeder,2830,216,0,216,0,0,611280,0,10,1985
