FiscalYear,FiscalYearLabel,FiscalYearShort,IsCurrent,PeriodEnd,IsFinancial,IsFleet,IsClimate,IsEnergy
2015,FY2015,FY15,0,Year ended 31 May 2015,1,0,0,0
2016,FY2016,FY16,0,Year ended 31 May 2016,1,0,0,0
2017,FY2017,FY17,0,Year ended 31 May 2017,1,0,0,0
2018,FY2018,FY18,0,Year ended 31 May 2018,1,0,0,0
2019,FY2019,FY19,0,Year ended 31 May 2019,1,0,1,0
2020,FY2020,FY20,0,Year ended 31 May 2020,1,0,1,0
2021,FY2021,FY21,0,Year ended 31 May 2021,1,0,1,0
2022,FY2022,FY22,0,Year ended 31 May 2022,1,0,1,1
2023,FY2023,FY23,0,Year ended 31 May 2023,1,1,1,1
2024,FY2024,FY24,0,Year ended 31 May 2024,1,1,1,1
2025,FY2025,FY25,0,Year ended 31 May 2025,1,1,1,1
2026,FY2026,FY26,1,Year ended 31 May 2026,1,1,0,0
