FiscalYear,FiscalYearLabel,Revenue,OperatingIncome,NetIncome,EPSDiluted,Capex,OperatingMarginPct,NetMarginPct,CapexIntensityPct
2015,FY2015,47453,,,,4347,,,9.16
2016,FY2016,50365,,,,4818,,,9.57
2017,FY2017,60319,,,,5116,,,8.48
2018,FY2018,65450,,,,5663,,,8.65
2019,FY2019,69693,4466,540,2.03,5490,6.41,0.77,7.88
2020,FY2020,69217,2417,1286,4.9,5868,3.49,1.86,8.48
2021,FY2021,83959,5857,5231,19.45,5884,6.98,6.23,7.01
2022,FY2022,93512,6245,3826,14.33,6763,6.68,4.09,7.23
2023,FY2023,90155,4912,3972,15.48,6174,5.45,4.41,6.85
2024,FY2024,87693,5559,4331,17.21,5176,6.34,4.94,5.9
2025,FY2025,87926,5217,4092,16.81,4055,5.93,4.65,4.61
2026,FY2026,94720,5463,4433,18.55,3809,5.77,4.68,4.02
