FiscalYear,AircraftKey,Aircraft,PayloadLbs
2023,B752,115,7245000
2024,B752,92,5796000
2025,B752,90,5670000
2026,B752,86,5418000
2023,B767F,128,16268800
2024,B767F,138,17539800
2025,B767F,145,18429500
2026,B767F,152,19319200
2023,MD11,46,8859600
2024,MD11,37,7126200
2025,MD11,34,6548400
2026,MD11,29,5585400
2023,B777F,53,12364900
2024,B777F,57,13298100
2025,B777F,59,13764700
2026,B777F,59,13764700
2023,A306,65,6929000
2024,A306,65,6929000
2025,A306,58,6182800
2026,A306,57,6076200
2023,C208B,234,662220
2024,C208B,233,659390
2025,C208B,226,639580
2026,C208B,216,611280
2023,C408,9,54000
2024,C408,19,114000
2025,C408,27,162000
2026,C408,39,234000
2023,AT72,19,341430
2024,AT72,19,341430
2025,AT72,19,341430
2026,AT72,19,341430
2023,AT76F,13,250770
2024,AT76F,20,385800
2025,AT76F,24,462960
2026,AT76F,27,520830
2023,AT42,18,217260
2024,AT42,18,217260
2025,AT42,16,193120
2026,AT42,16,193120
