FiscalYear,Segment,Revenue,OperatingIncome,OperatingMarginPct
2023,Federal Express,75884,4193,5.53
2023,FedEx Freight,10084,1936,19.2
2023,Corporate & other,4187,-1217,-29.07
2024,Federal Express,74663,4819,6.45
2024,FedEx Freight,9429,1821,19.31
2024,Corporate & other,3601,-1081,-30.02
2025,Federal Express,75304,4885,6.49
2025,FedEx Freight,8892,1489,16.75
2025,Corporate & other,3730,-1157,-31.02
2026,Federal Express,82273,5912,7.19
2026,FedEx Freight,8795,616,7.0
2026,Corporate & other,3652,-1065,-29.16
